3M Company,114.277B,20.17,8.31,1.84,false,true,true,true
A.O. Smith Corp,10.947B,28.22,5.96,1.86,false,false,true,true
Abbott Laboratories,212.725B,37.62,6.49,N/A,false,false,false,true
AbbVie Inc.,196.779B,38.28,15.05,N/A,false,true,true,true
Abiomed,14.507B,64.93,10.92,6.11,true,N/A,true,false
Accenture,184.319B,34.32,10.07,1.39,false,false,true,true
Activision Blizzard,70.65B,32.34,4.70,3.41,false,false,true,true
Adobe Inc.,242.987B,44.26,17.98,1.27,false,false,true,true
Advance Auto Parts,13.063B,28.03,3.70,1.32,false,true,true,true
Advanced Micro Devices,99.17B,34.27,15.31,2.51,false,true,true,false
AES Corp,18.587B,434.69,7.03,1.01,false,false,true,false
Aflac,36.574B,6.91,1.14,0.62,true,true,true,true
Agilent Technologies,40.72B,51.46,8.48,2.07,false,false,false,true
Air Products & Chemicals,63.834B,33.89,5.03,2.95,false,false,true,true
Akamai Technologies,17.747B,32.26,4.16,2.55,false,N/A,true,true
Alaska Air Group,8.604B,N/A,2.99,0.90,false,false,false,false
Albemarle Corporation,19.628B,47.78,4.21,1.22,false,true,false,true
Alexandria Real Estate Equities,26.713B,31.56,2.03,3.04,true,false,true,false
Alexion Pharmaceuticals,37.264B,62.01,3.18,3.59,false,N/A,true,true
Align Technology,47.128B,103.34,13.86,1.52,false,N/A,true,true
